Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
Drug8_1000nM,rep2,FOV2,8,7,7737,2961,0.0,0.0
Drug8_1000nM,rep2,FOV2,8,8,7272,3021,0.0,6.0
Drug8_1000nM,rep2,FOV2,9,1,8557,4141,2.0,0.0
Drug8_1000nM,rep2,FOV2,9,2,7448,3088,0.0,12.0
Drug8_1000nM,rep2,FOV2,9,3,7830,3698,2.0,0.0
Drug8_1000nM,rep2,FOV2,9,4,7204,2675,0.0,0.0
Drug8_1000nM,rep2,FOV2,9,5,8059,2995,0.0,4.0
Drug8_1000nM,rep2,FOV2,9,6,7383,2819,0.0,4.0
Drug8_1000nM,rep2,FOV2,9,7,7687,2969,0.0,0.0
Drug8_1000nM,rep2,FOV2,9,8,7277,2961,0.0,17.0
Drug8_1000nM,rep2,FOV2,10,1,8545,4653,2.0,0.0
Drug8_1000nM,rep2,FOV2,10,2,7430,3094,0.0,3.0
Drug8_1000nM,rep2,FOV2,10,3,7813,3791,2.0,0.0
Drug8_1000nM,rep2,FOV2,10,4,7282,2709,0.0,0.0
Drug8_1000nM,rep2,FOV2,10,5,8055,3200,1.0,1.0
Drug8_1000nM,rep2,FOV2,10,6,7496,2963,0.0,17.0
Drug8_1000nM,rep2,FOV2,10,7,7655,2985,0.0,0.0
Drug8_1000nM,rep2,FOV2,10,8,7264,2993,0.0,18.0
Drug8_1000nM,rep2,FOV2,11,1,8551,4014,2.0,0.0
Drug8_1000nM,rep2,FOV2,11,2,7495,3109,0.0,2.0
Drug8_1000nM,rep2,FOV2,11,3,7782,3126,2.0,0.0
Drug8_1000nM,rep2,FOV2,11,4,7321,2690,0.0,0.0
Drug8_1000nM,rep2,FOV2,11,5,8023,3205,1.0,6.0
Drug8_1000nM,rep2,FOV2,11,6,7552,3287,1.0,5.0
Drug8_1000nM,rep2,FOV2,11,7,7441,2933,0.0,0.0
Drug8_1000nM,rep2,FOV2,11,8,7222,2934,0.0,16.0
Drug8_1000nM,rep2,FOV2,12,1,8591,5173,2.0,0.0
Drug8_1000nM,rep2,FOV2,12,2,7791,2835,1.0,1.0
Drug8_1000nM,rep2,FOV2,12,3,7383,2671,0.0,0.0
Drug8_1000nM,rep2,FOV2,12,4,8017,2876,0.0,17.0
Drug8_1000nM,rep2,FOV2,12,5,7626,4311,2.0,0.0
Drug8_1000nM,rep2,FOV2,12,6,7649,2951,0.0,0.0
Drug8_1000nM,rep2,FOV2,12,7,7279,2914,0.0,15.0
Drug8_1000nM,rep2,FOV2,13,1,7830,2698,0.0,12.0
Drug8_1000nM,rep2,FOV2,13,2,7422,2639,0.0,1.0
Drug8_1000nM,rep2,FOV2,13,3,8054,2899,0.0,7.0
Drug8_1000nM,rep2,FOV2,13,4,7634,6200,2.0,0.0
Drug8_1000nM,rep2,FOV2,13,5,7790,2841,0.0,0.0
Drug8_1000nM,rep2,FOV2,13,6,7358,3148,0.0,6.0
Drug8_1000nM,rep2,FOV2,14,1,7790,2737,0.0,10.0
Drug8_1000nM,rep2,FOV2,14,2,7469,2639,0.0,1.0
Drug8_1000nM,rep2,FOV2,14,3,7933,2842,0.0,1.0
Drug8_1000nM,rep2,FOV2,14,4,7674,6352,2.0,0.0
Drug8_1000nM,rep2,FOV2,14,5,7846,2852,0.0,1.0
Drug8_1000nM,rep2,FOV2,14,6,7370,3253,0.0,11.0
Drug8_1000nM,rep2,FOV2,15,1,7454,2627,0.0,1.0
Drug8_1000nM,rep2,FOV2,15,2,7954,2795,0.0,0.0
Drug8_1000nM,rep2,FOV2,15,3,7694,6424,2.0,0.0
Drug8_1000nM,rep2,FOV2,15,4,8001,3041,0.0,10.0
Drug8_1000nM,rep2,FOV2,15,5,7375,3038,0.0,11.0
Drug8_1000nM,rep2,FOV2,16,1,7374,2607,0.0,1.0
Drug8_1000nM,rep2,FOV2,16,2,7699,6292,2.0,0.0
Drug8_1000nM,rep2,FOV2,16,3,8130,4234,1.0,0.0
Drug8_1000nM,rep2,FOV2,16,4,7373,3103,0.0,14.0
Drug8_1000nM,rep2,FOV2,17,1,7544,2668,0.0,0.0
Drug8_1000nM,rep2,FOV2,17,2,7777,6477,2.0,0.0
Drug8_1000nM,rep2,FOV2,17,3,7402,3088,0.0,4.0
Drug8_1000nM,rep2,FOV2,18,1,7493,2595,0.0,2.0
Drug8_1000nM,rep2,FOV2,18,2,7738,6279,2.0,0.0
Drug8_1000nM,rep2,FOV2,18,3,7386,3034,1.0,3.0
Drug8_1000nM,rep2,FOV2,19,1,7606,2716,0.0,12.0
Drug8_1000nM,rep2,FOV2,19,2,7749,6368,2.0,0.0
Drug8_1000nM,rep2,FOV2,20,1,7558,2764,0.0,14.0
Drug8_1000nM,rep2,FOV2,20,2,7735,6382,2.0,0.0
Drug8_1000nM,rep2,FOV3,0,1,8002,2611,0.0,14.0
